id,x,z,y
90,0,1,3.495124
91,0,1,-6.345489
92,1,0,2.83968
93,1,1,1.877107
94,0,1,.6138345
95,0,1,-.4720661
96,1,1,-.1182178
97,1,0,-2.078121
98,1,1,.3356626
99,1,0,.8452783
100,1,0,-1.365218
101,1,0,1.434131
102,1,0,-6.474317
103,1,0,3.026314
104,1,0,-2.168807
105,0,0,-5.67502
106,0,1,.3050193
107,0,1,-6.814132
108,0,1,5.594897
109,1,1,-.6759074
110,1,0,1.637748
111,1,0,-1.595762
112,1,0,6.158086
113,0,0,-4.1555
114,1,1,-2.314829
115,0,1,-.1945741
116,0,1,-2.432141
117,1,0,5.830376
118,1,0,-2.784818
119,1,0,5.431419
120,1,0,-5.3938
121,1,0,1.797572
122,1,0,-1.084132
123,1,0,-2.153195
124,1,0,1.183279
125,0,1,-6.978286
126,1,0,6.126006
127,1,0,2.725732
128,1,1,4.150922
129,0,1,-2.676724
130,0,1,2.549906
131,0,0,.1251382
132,0,1,3.15938
133,1,0,1.165495
134,1,0,6.488304
135,1,0,-2.462527
136,1,1,-1.007326
137,0,1,1.354743
138,0,1,-5.992782
139,0,1,1.042448
140,0,1,-1.189818
141,1,0,-2.566863
142,1,1,-1.948048
143,0,0,1.09053
144,0,0,-.6236964
145,0,1,-1.466004
146,1,0,1.40947
147,1,1,.5853582
148,1,0,-.15887
149,1,0,2.044647
150,0,0,-1.184518
151,1,1,-1.783472
152,0,1,-1.122948
153,1,0,1.941193
154,1,0,-.1415565
155,1,0,-.3028359
156,0,0,-2.30471
157,0,1,-6.649623
158,1,1,-1.181225
159,1,1,1.493548
160,1,0,3.861333
161,0,1,3.923196
162,1,0,-2.143262
163,1,1,.0640712
164,1,0,5.706331
165,0,1,-3.901801
166,0,0,5.16474
167,0,1,-.3745701
168,0,1,6.510084
169,1,0,5.573544
170,0,1,-2.809815
171,0,1,-2.889565
172,0,0,.2079399
173,1,0,-.9883134
174,0,1,.3910777
175,0,1,.7786294
176,0,1,-4.641868
177,0,1,-1.648334
178,0,1,.0757121
179,0,0,-1.754123
180,0,0,-4.482134
181,1,1,.9238306
182,1,0,1.018843
183,1,0,-3.832008
184,0,1,3.615421
185,0,1,-.3544685
186,0,1,1.394272
187,0,1,-5.968959
188,1,0,.7290155
189,0,1,-1.928959
190,0,0,-.8765049
191,0,0,-2.40632
192,0,1,-2.479369
193,1,0,2.505966
194,1,0,-.3238521
195,1,0,-1.154566
196,0,0,-2.19974
197,0,0,-5.266023
198,0,0,3.797889
199,0,1,.6025585
200,0,1,-.8367686
201,0,1,-8.016926
202,1,0,-3.189918
203,0,1,-3.539855
204,1,1,4.411996
205,1,1,2.657794
206,0,1,-.0168051
207,1,0,.0352433
208,1,0,-.7763174
209,1,0,-1.618553
210,1,0,-1.253104
211,0,0,-3.866857
212,0,0,1.233428
213,1,1,1.141666
214,0,0,1.043802
215,0,1,3.306066
216,1,0,-3.915189
217,1,0,-2.764512
218,0,0,-2.93245
219,0,1,-1.615232
220,1,0,5.030433
221,1,0,5.120413
222,0,1,.0310983
223,0,1,-3.448095
224,1,1,4.661831
225,1,0,.8010707
226,1,0,-3.492552
227,0,0,6.350747
228,0,1,.2962177
229,1,0,-1.677545
230,0,1,-1.560471
231,1,0,4.499766
232,0,0,5.193862
233,1,0,4.191443
234,1,0,-.8200167
235,1,0,2.620176
236,0,1,.9667242
237,0,1,.5423278
238,0,1,-.8366712
239,1,0,6.684608
240,1,0,2.852269
241,1,0,-1.692787
242,0,1,-5.966686
243,0,0,-.927368
244,0,0,4.618437
245,1,0,2.26652
246,0,1,-4.227962
247,0,1,-5.170978
248,1,0,5.630089
249,1,0,-1.253627
250,1,0,-3.555076
251,0,1,3.619725
252,0,1,-1.515646
253,0,1,1.027508
254,0,0,2.495351
255,1,1,-3.044885
256,0,1,-.9764624
257,1,0,1.488907
258,0,1,3.590149
259,1,0,-1.704887
260,1,0,-1.25386
261,1,0,5.360251
262,1,0,-3.150764
263,1,0,5.005219
264,1,0,1.84073
265,1,0,2.854887
266,1,0,-2.068002
267,0,0,4.437401
268,0,1,-4.640511
269,0,1,5.524225
270,1,0,-2.199523
271,1,1,1.520375
272,1,0,-2.143382
273,0,1,1.877075
274,0,1,-1.429659
275,1,0,2.714667
276,0,1,-1.185756
277,0,1,2.841354
278,1,1,-1.756013
279,0,1,-3.689182
280,0,1,-2.916348
281,1,0,.4370982
282,1,0,-1.546553
283,1,0,2.189112
284,0,0,-1.650354
285,0,0,4.619529
286,0,1,.3474242
287,1,0,-.4242117
288,0,0,-.5816007
289,1,0,.296145
290,0,1,-.3197975
291,1,1,-2.319156
292,0,1,-.2248651
293,1,0,-2.733917
294,0,1,-4.191378
295,1,0,2.170137
296,1,1,1.480951
297,1,0,-.9049333
298,0,0,3.423425
299,0,1,-.4133576
300,0,1,-2.266097
301,1,0,-.8903912
302,0,1,-4.947779
303,1,1,-1.538114
304,1,0,4.880435
305,0,1,.6456954
306,0,1,-4.950256
307,0,1,1.068574
308,1,0,3.939406
309,0,0,6.132481
310,1,0,3.21137
311,0,0,-.2311724
312,0,1,.4169059
313,1,0,-.585722
314,1,0,-2.539761
315,1,0,2.884686
316,0,1,-.6838483
317,0,0,1.757662
318,1,0,-.953206
319,0,1,-1.066382
320,1,0,6.278017
321,0,0,.0580791
322,0,1,3.863519
323,1,0,-1.393931
324,0,1,2.941254
325,0,0,-5.429216
326,1,0,-1.190986
327,0,1,-1.43298
328,1,0,1.653717
329,0,1,3.827146
330,0,1,-1.963037
331,1,0,6.47591
332,1,0,.6259286
333,1,0,1.305023
334,1,0,-2.683036
335,0,1,-8.413848
336,1,0,-1.839018
337,0,0,-.0142234
338,1,0,6.231087
339,0,1,1.014319
340,1,0,-.4108073
341,1,1,4.885799
342,0,1,.0456988
343,1,0,-2.369133
344,0,1,2.749993
345,1,0,.8322095
346,1,1,3.694898
347,1,0,1.201698
348,1,0,-1.012431
349,1,0,3.654297
350,1,0,-4.557801
351,0,1,-.0323927
352,1,0,.2338104
353,1,0,-.1425149
354,1,0,1.110106
355,0,1,-3.849689
356,0,1,-1.719362
357,1,0,2.337396
358,0,1,-4.438724
359,0,1,-3.604701
360,1,0,4.283008
361,0,1,-3.711119
362,0,1,2.570793
363,0,1,-3.57772
364,0,1,1.20831
365,0,0,.1896174
366,0,1,-1.555352
367,0,1,-.4774819
368,1,1,.9806536
369,1,0,-2.41591
370,0,1,.2748535
371,1,1,-.5473762
372,0,1,2.273424
373,0,1,-.953203
374,1,1,2.917355
375,0,1,1.648813
376,0,1,-3.34942
377,0,1,2.264731
378,0,0,1.040202
379,0,0,5.778258
380,0,1,.1521737
381,1,0,1.902167
382,0,1,-3.99437
383,1,0,6.46668
384,1,0,1.735109
385,1,0,-3.020234
386,1,0,-1.978027
387,0,1,-.834516
388,0,1,-.308612
389,0,1,-3.174969
390,0,0,-1.604477
391,1,1,-3.108471
392,1,0,4.065517
393,0,0,-3.036321
394,1,1,-8.588161
395,0,1,-4.376338
396,0,0,-1.737706
397,1,1,2.711135
398,0,1,-2.657711
399,0,1,-.3029106
400,0,1,6.318291
401,1,0,-2.41769
402,1,0,2.925966
403,1,0,1.773946
404,0,1,1.788776
405,1,0,-2.059094
406,0,1,4.933171
407,1,0,-1.36523
408,1,0,-2.124208
409,1,1,.4875841
410,0,1,2.207867
411,1,0,1.507333
412,1,0,-.3466504
413,1,0,3.671324
414,1,1,-4.526422
415,0,1,.7880124
416,0,1,.0408861
417,1,1,-3.496467
418,0,0,1.089559
419,1,0,-5.245615
420,1,1,.3682483
421,1,1,.6056567
422,1,1,.5832228
423,1,0,4.182457
424,1,0,-.6578655
425,0,1,-.0218569
426,1,1,2.181661
427,1,1,1.585977
428,1,0,-3.733976
429,0,0,5.036328
430,1,1,1.225413
431,0,1,-1.677198
432,1,0,5.495287
433,0,1,2.786825
434,0,1,.2198943
435,0,1,2.337743
436,0,1,-4.1208
437,0,1,-.2919421
438,1,1,1.585443
439,0,1,-1.904617
440,0,1,-2.115662
441,1,0,-3.470372
442,0,1,-3.106531
443,1,0,1.009203
444,0,1,-5.447958
445,0,1,5.591497
446,1,1,2.673444
447,0,1,-2.411689
448,0,0,-.1497327
449,0,1,-.3785846
450,1,1,5.754791
451,0,0,-3.526342
452,1,0,-3.855523
453,0,1,1.118148
454,1,1,1.673075
455,0,0,4.511513
456,0,1,-1.645522
457,1,0,-.1936558
458,0,1,-.3751163
459,1,0,-1.401209
460,0,1,-2.575248
461,0,1,1.051235
462,0,0,-2.356038
463,1,0,.663983
464,1,0,1.175523
465,1,0,.4500467
466,0,1,-3.925663
467,0,1,1.008175
468,0,0,-1.789012
469,1,1,1.308228
470,0,0,-3.013474
471,0,1,-3.940068
472,0,1,1.446488
473,1,0,.277012
474,1,0,1.795957
475,1,1,2.541187
476,1,0,3.239683
477,1,0,4.146182
478,1,0,-2.115921
479,1,0,-1.99738
480,0,1,3.367408
481,0,1,.6917788
482,1,0,-.4025916
483,0,1,-5.111293
484,1,0,-2.717484
485,0,1,-.8665343
486,0,1,-.7146478
487,1,0,-5.61286
488,0,1,.6836199
489,1,1,-.6076109
490,1,0,-.0225216
491,0,1,-3.36222
492,0,1,-12.47208
493,0,1,-3.344242
494,1,0,1.702008
495,1,0,-1.112046
496,0,1,-2.656117
497,1,0,-1.695493
498,1,0,.4329029
499,1,0,3.432169
500,0,0,-2.924298
501,0,1,-1.354159
502,1,0,-6.268368
503,1,0,2.901085
504,1,0,-.0646918
505,1,0,4.617687
506,0,1,-.6709376
507,0,1,2.540838
508,0,0,-1.310589
509,1,0,3.239487
510,0,1,.3791772
511,1,1,.913147
512,1,0,-.2441771
513,0,0,-2.709311
514,1,0,3.477612
515,1,0,-7.854071
516,0,1,1.682786
517,0,1,-.3444979
518,1,0,-4.836706
519,1,0,-.7219113
520,0,1,4.975134
521,1,0,-.464478
522,1,0,-5.093276
523,1,0,3.649423
524,1,1,1.470194
525,1,0,-5.112315
526,1,0,3.363782
527,0,1,1.281386
528,0,1,-6.600635
529,1,1,-.4247614
530,0,1,-4.485655
531,1,0,-1.836782
532,0,1,-1.658546
533,0,1,-4.802482
534,1,0,-.0102783
535,1,0,-.3159059
536,1,0,-4.278438
537,0,0,2.079093
538,0,0,-2.677103
539,0,0,3.934861
540,1,0,.6923384
541,1,0,5.911498
542,0,1,-.793886
543,0,1,-.1858118
544,1,0,5.503954
545,1,0,.5921412
546,0,1,2.81094
547,1,1,-2.807203
548,1,1,1.741562
549,1,0,-.5067238
550,1,0,5.452826
551,0,1,-4.386961
552,1,0,4.069917
553,1,0,2.094567
554,1,0,-1.032979
555,1,1,-2.561832
556,0,0,.8975211
557,0,1,-1.789042
558,0,0,.0631912
559,1,0,2.739423
560,0,1,3.947706
561,1,0,-1.10209
562,1,1,5.619626
563,1,1,.5802885
564,0,1,-.6858976
565,0,1,1.045397
566,0,1,-5.683852
567,0,1,.9845493
568,0,0,-.5242183
569,1,0,.1876603
570,1,0,-4.600833
571,1,1,-7.576718
572,0,1,-3.844253
573,1,0,-3.931072
574,0,1,-5.15338
575,1,0,2.491888
576,1,0,-1.117157
577,1,1,-4.41663
578,0,0,-.8892246
579,1,0,-1.279948
580,0,1,3.510008
581,1,0,.6622431
582,1,0,2.548116
583,0,1,1.435255
584,1,0,-2.512422
585,0,0,-4.737992
586,0,1,2.367151
587,0,1,-3.190814
588,0,1,2.817283
589,1,0,2.982214
590,1,1,-1.151961
591,0,1,-.2468725
592,0,1,-1.946481
593,0,1,1.060841
594,0,0,-2.349772
595,1,0,.4236329
596,0,1,-5.220446
597,0,1,-5.739167
598,0,1,2.157694
599,1,0,1.802132
600,0,0,-1.99117
601,0,1,-.6132969
602,0,1,-5.617389
603,1,0,4.085198
604,0,1,-3.423882
605,0,0,-1.743795
606,0,1,3.479424
607,0,0,1.385409
608,0,0,8.826502
609,0,1,-1.597069
610,0,0,-.0247845
611,1,0,-1.242766
612,1,0,.7528861
613,0,1,-1.454629
614,0,1,2.099371
615,0,0,-3.703284
616,1,0,.292556
617,0,1,-3.048281
618,1,0,4.875224
619,0,1,-1.672615
620,1,0,4.279028
621,0,1,3.483246
622,1,1,-3.221857
623,1,1,-1.47618
624,1,0,-.6659972
625,0,1,-.3771832
626,0,1,-.1233704
627,0,1,2.223063
628,0,0,-3.676585
629,1,0,3.743362
630,1,1,.6938695
631,1,0,-3.290798
632,0,1,2.495873
633,0,1,-3.907328
634,1,0,4.41746
635,1,0,-.7771408
636,1,0,1.864201
637,0,1,-.1093028
638,1,1,-.5428194
639,1,0,1.440102
640,1,1,-1.275467
641,0,1,-.8669942
642,0,1,-3.586548
643,1,0,2.443926
644,1,0,6.806509
645,1,1,3.53541
646,0,1,-1.286053
647,1,0,2.701095
648,0,1,1.101969
649,1,1,3.810621
650,1,1,1.315285
651,1,0,-3.409647
652,1,1,-5.180054
653,0,0,3.713159
654,0,1,-.0774525
655,1,0,4.765304
656,0,1,1.897298
657,1,1,-.2355025
658,1,0,-3.411299
659,1,0,-3.314572
660,0,0,-3.2391
661,0,1,2.128361
662,0,0,4.972095
663,0,1,2.027107
664,1,0,.8480642
665,0,0,3.439527
666,1,0,5.671552
667,1,0,-6.269678
668,1,0,.8453977
669,1,0,2.52874
670,1,0,-2.661297
671,1,0,2.113216
672,1,1,-.1844682
673,0,1,.5020143
674,0,1,-2.465769
675,1,0,3.34136
676,0,1,1.623891
677,1,0,2.503383
678,0,0,3.984146
679,0,1,3.043628
680,1,0,2.587773
681,1,1,-3.587708
682,1,0,-.021578
683,0,1,-3.172359
684,0,0,-2.1337
685,1,0,1.623649
686,0,0,-2.381063
687,0,1,-6.154397
688,1,0,-3.845937
689,1,0,.087868
690,0,1,-7.508795
691,0,0,.5823923
692,1,0,.6086658
693,1,0,-.918847
694,1,0,6.103599
695,0,1,-2.511623
696,1,1,1.61223
697,0,1,-1.861435
698,1,0,-.7657085
699,0,1,4.400989
700,0,1,3.17358
